"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"9","GTDPRO","Klaus Bachler","6","1:27.619","12:01.071","Green","Track","23.310","44.336","19.973"
"12","GTD","Frankie Montecalvo","8","1:30.784","12:11.779","Green","Pit","22.547","35.036","33.201"
"14","GTDPRO","Jack Hawksworth","7","1:26.168","12:13.316","Green","Pit","22.226","34.816","29.126"
"3","GTDPRO","Jordan Taylor","9","1:15.559","12:13.336","Green","Track","22.284","35.025","18.250"
"79","GTDPRO","Jules Gounon","6","1:15.103","12:19.680","Green","Track","22.257","34.849","17.997"
"70","GTD","Brendan Iribe","9","1:16.474","12:24.741","Green","Track","22.846","35.222","18.406"
"91","GTD","Alan Metni","9","1:17.773","12:30.998","Green","Track","23.229","35.478","19.066"
"32","GTD","Mikael Grenier","9","1:17.104","12:46.940","Green","Track","22.628","35.123","19.353"
"96","GTD","Patrick Gallagher","9","1:19.413","12:52.479","Green","Track","23.085","35.164","21.164"
"77","GTD","Alan Brynjolfsson","9","1:17.635","12:56.754","Green","Track","23.376","35.462","18.797"
"80","GTD","PJ Hyett","9","1:17.955","13:00.976","Green","Track","23.083","35.820","19.052"
"92","GTD","David Brule","9","1:22.029","13:02.460","Green","Track","24.410","37.213","20.406"
"66","GTD","Sheena Monk","9","1:22.782","13:06.527","Green","Track","25.943","37.790","19.049"
"57","GTD","Russell Ward","9","1:16.395","13:08.418","Green","Track","22.883","35.003","18.509"
"9","GTDPRO","Klaus Bachler","7","1:29.831","13:30.902","Green","Pit","22.827","35.259","31.745"
"3","GTDPRO","Jordan Taylor","10","1:27.099","13:40.435","Green","Track","27.174","40.709","19.216"
"70","GTD","Brendan Iribe","10","1:16.945","13:41.686","Green","Track","23.066","35.218","18.661"
"91","GTD","Alan Metni","10","1:17.823","13:48.821","Green","Track","23.140","35.587","19.096"
"32","GTD","Mikael Grenier","10","1:15.670","14:02.610","Green","Track","22.514","35.023","18.133"
"79","GTDPRO","Jules Gounon","7","1:47.829","14:07.509","Green","Pit","23.991","52.318","31.520"
"96","GTD","Patrick Gallagher","10","1:16.170","14:08.649","Green","Track","22.757","35.032","18.381"
"77","GTD","Alan Brynjolfsson","10","1:17.285","14:14.039","Green","Track","23.193","35.335","18.757"
"80","GTD","PJ Hyett","10","1:16.988","14:17.964","Green","Track","23.004","35.440","18.544"
"92","GTD","David Brule","10","1:21.108","14:23.568","Green","Track","24.603","36.546","19.959"
"66","GTD","Sheena Monk","10","1:21.613","14:28.140","Green","Track","23.691","37.850","20.072"
"3","GTDPRO","Jordan Taylor","11","1:15.784","14:56.219","Green","Track","22.392","35.098","18.294"
"70","GTD","Brendan Iribe","11","1:16.844","14:58.530","Green","Track","22.982","35.290","18.572"
"91","GTD","Alan Metni","11","1:17.467","15:06.288","Finish","Track","23.209","35.401","18.857"
"77","GTD","Alan Brynjolfsson","11","1:17.030","15:31.069","Finish","Track","23.084","35.249","18.697"
"80","GTD","PJ Hyett","11","1:17.269","15:35.233","Finish","Track","22.917","35.513","18.839"
"96","GTD","Patrick Gallagher","11","1:33.480","15:42.129","Finish","Pit","23.296","37.185","32.999"
"92","GTD","David Brule","11","1:20.903","15:44.471","Finish","Track","24.704","36.416","19.783"
"66","GTD","Sheena Monk","11","1:17.342","15:45.482","Finish","Track","23.412","35.256","18.674"
"70","GTD","Brendan Iribe","12","1:16.382","16:14.912","Finish","Track","22.581","35.469","18.332"
"74","LMP3","Gar Robinson","1","26:36.934","26:36.934","Green","Track","36.512","36.938","18.709"
"13","LMP3","Orey Fidani","1","26:37.457","26:37.457","Green","Track","35.725","36.668","19.057"
"17","LMP3","Anthony Mantella","1","26:40.406","26:40.406","Green","Track","37.369","36.945","18.326"
"30","LMP3","Ari Balogh","1","26:45.161","26:45.161","Green","Track","37.786","37.938","20.639"
"4","LMP3","Antoine Comeau","1","26:50.438","26:50.438","Green","Track","40.347","37.164","19.142"
"33","LMP3","Lance Willsey","1","26:57.479","26:57.479","Green","Track","43.922","42.197","19.991"
"74","LMP3","Gar Robinson","2","1:14.734","27:51.668","Green","Track","22.070","34.688","17.976"
"13","LMP3","Orey Fidani","2","1:15.594","27:53.051","Green","Track","22.550","35.181","17.863"
"17","LMP3","Anthony Mantella","2","1:14.379","27:54.785","Green","Track","22.129","34.485","17.765"
"30","LMP3","Ari Balogh","2","1:16.583","28:01.744","Green","Track","22.993","35.266","18.324"
"4","LMP3","Antoine Comeau","2","1:16.742","28:07.180","Green","Track","23.426","35.294","18.022"
"33","LMP3","Lance Willsey","2","1:17.585","28:15.064","Green","Track","23.459","35.339","18.787"
"74","LMP3","Gar Robinson","3","1:13.261","29:04.929","Green","Track","21.374","34.429","17.458"
"13","LMP3","Orey Fidani","3","1:13.654","29:06.705","Green","Track","21.835","34.320","17.499"
"17","LMP3","Anthony Mantella","3","1:13.840","29:08.625","Green","Track","21.739","34.389","17.712"
"30","LMP3","Ari Balogh","3","1:15.232","29:16.976","Green","Track","22.255","34.830","18.147"
"4","LMP3","Antoine Comeau","3","1:14.914","29:22.094","Green","Track","22.346","34.729","17.839"
"33","LMP3","Lance Willsey","3","1:15.884","29:30.948","Green","Track","22.423","35.125","18.336"
"74","LMP3","Gar Robinson","4","1:12.970","30:17.899","Green","Track","21.211","34.415","17.344"
"13","LMP3","Orey Fidani","4","1:13.355","30:20.060","Green","Track","21.505","34.014","17.836"
"17","LMP3","Anthony Mantella","4","1:13.682","30:22.307","Green","Track","21.784","34.283","17.615"
"30","LMP3","Ari Balogh","4","1:14.409","30:31.385","Green","Track","21.714","34.718","17.977"
"4","LMP3","Antoine Comeau","4","1:14.666","30:36.760","Green","Track","22.106","34.818","17.742"
"33","LMP3","Lance Willsey","4","1:14.751","30:45.699","Green","Track","21.926","34.678","18.147"
"74","LMP3","Gar Robinson","5","1:12.960","31:30.859","Green","Track","21.198","34.333","17.429"
"13","LMP3","Orey Fidani","5","1:13.661","31:33.721","Green","Track","21.738","34.205","17.718"
"17","LMP3","Anthony Mantella","5","1:13.768","31:36.075","Green","Track","21.803","34.296","17.669"
"30","LMP3","Ari Balogh","5","1:14.088","31:45.473","Green","Track","21.653","34.592","17.843"
"4","LMP3","Antoine Comeau","5","1:14.258","31:51.018","Green","Track","22.006","34.702","17.550"
"33","LMP3","Lance Willsey","5","1:15.169","32:00.868","Green","Track","22.018","34.894","18.257"
"74","LMP3","Gar Robinson","6","1:12.946","32:43.805","Green","Track","21.160","34.366","17.420"
"13","LMP3","Orey Fidani","6","1:13.610","32:47.331","Green","Track","21.756","34.177","17.677"
